Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
33,11.84,15.24,19.26,True,90.0,True,90.0,True,90.0,8,3,3,2,5,6,3,2,2,3475.31,1.323
2,8.92,10.16,10.89,False,102.38,False,96.92,False,113.0,2,3,3,2,5,6,3,2,2,864.15,1.33
14,15.09,15.41,7.51,True,90.0,False,100.22,True,90.0,4,3,3,3,4,6,3,2,2,1718.64,1.338
2,10.32,11.94,16.15,False,114.24,False,104.71,False,100.98,4,3,3,3,6,5,4,2,2,1654.19,1.39
2,6.92,9.37,14.56,False,71.21,False,81.74,False,75.41,2,3,3,3,4,5,4,2,2,862.92,1.332
14,14.04,15.12,8.63,True,90.0,False,110.25,True,90.0,4,3,3,3,4,5,3,1,2,1718.78,1.338
19,5.77,14.28,20.61,True,90.0,True,90.0,True,90.0,4,3,3,2,5,6,3,1,2,1698.17,1.354
14,11.82,15.59,9.54,True,90.0,False,98.26,True,90.0,4,3,3,3,5,6,3,2,2,1739.74,1.321
33,24.37,10.26,7.02,True,90.0,True,90.0,True,90.0,4,3,3,2,5,5,4,2,2,1755.25,1.31
14,11.72,13.71,10.73,True,90.0,False,96.7,True,90.0,4,3,3,3,4,5,3,3,2,1712.33,1.343
14,10.03,12.4,14.13,True,90.0,False,95.15,True,90.0,4,3,3,2,6,6,3,2,2,1750.28,1.313
4,11.46,8.32,18.01,True,90.0,False,96.52,True,90.0,4,3,3,3,5,6,3,2,2,1706.1,1.347
19,17.81,14.53,6.85,True,90.0,True,90.0,True,90.0,4,3,3,4,3,5,3,3,2,1772.64,1.297
19,11.05,20.46,7.57,True,90.0,True,90.0,True,90.0,4,3,3,4,3,5,3,3,2,1711.45,1.343
4,8.4,6.98,14.46,True,90.0,False,98.78,True,90.0,2,3,3,2,5,8,4,1,2,837.88,1.372
5,10.65,12.56,13.58,True,90.0,False,101.56,True,90.0,4,3,3,4,4,6,3,2,2,1779.67,1.292
14,10.39,17.09,9.78,True,90.0,False,99.71,True,90.0,4,3,3,2,5,6,3,2,2,1711.71,1.343
4,12.65,5.98,12.06,True,90.0,False,114.48,True,90.0,2,3,3,3,4,5,4,2,2,830.29,1.384
14,8.64,19.67,10.45,True,90.0,False,105.44,True,90.0,4,3,3,1,6,6,5,3,2,1711.87,1.343
4,12.28,12.82,5.75,True,90.0,False,103.82,True,90.0,2,3,3,2,5,5,3,2,2,879.01,1.308
19,7.69,13.92,15.66,True,90.0,True,90.0,True,90.0,4,3,3,3,5,4,4,1,2,1676.32,1.371
19,5.97,17.22,16.45,True,90.0,True,90.0,True,90.0,4,3,3,4,3,5,3,3,2,1691.12,1.359
4,9.23,13.67,7.1,True,90.0,False,102.85,True,90.0,2,3,3,3,5,5,3,2,2,873.4,1.316
4,16.34,10.83,9.72,True,90.0,False,94.1,True,90.0,4,3,3,3,4,5,3,3,2,1715.67,1.34
2,8.83,11.02,17.6,False,88.02,False,99.37,False,93.16,4,3,3,4,4,5,4,2,2,1686.61,1.363
2,10.5,10.02,16.62,False,86.69,False,84.02,False,94.8,4,3,3,1,6,6,4,2,2,1729.08,1.33
2,8.31,8.54,12.2,False,99.47,False,99.55,False,87.42,2,3,3,2,5,5,4,2,2,842.03,1.365
61,10.33,13.82,23.47,True,90.0,True,90.0,True,90.0,8,3,3,3,4,5,4,1,2,3350.59,1.372
4,21.65,9.0,9.06,True,90.0,False,92.03,True,90.0,4,3,3,4,3,4,4,3,2,1764.23,1.303
4,7.11,10.43,11.97,True,90.0,False,91.73,True,90.0,2,3,3,2,5,7,3,1,2,887.26,1.296
14,18.14,17.41,5.68,True,90.0,False,101.04,True,90.0,4,3,3,2,4,4,3,3,2,1760.65,1.306
4,8.71,7.74,13.01,True,90.0,False,98.58,True,90.0,2,3,3,4,3,6,3,3,2,867.26,1.325
2,9.29,9.38,10.99,False,65.62,False,81.24,False,86.16,2,3,3,3,4,6,3,2,2,862.09,1.333
1,11.36,11.44,12.95,False,89.99,False,90.19,False,100.16,4,3,3,4,3,5,3,1,2,1656.56,1.388
19,7.27,8.28,29.18,True,90.0,True,90.0,True,90.0,4,3,3,4,3,5,4,3,2,1756.51,1.309
19,7.38,10.08,22.75,True,90.0,True,90.0,True,90.0,4,3,3,2,6,4,4,1,2,1692.38,1.358
