Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
14,6.43,10.89,17.73,True,90.0,False,90.9,True,90.0,4,2,3,2,5,5,5,2,1,1241.35,1.349
14,10.67,18.98,12.29,True,90.0,False,100.97,True,90.0,8,2,3,4,4,4,4,2,1,2443.45,1.371
4,5.34,14.57,7.85,True,90.0,False,103.77,True,90.0,2,2,3,4,4,4,5,1,1,593.21,1.411
2,6.91,17.11,11.44,False,70.97,False,73.65,False,88.26,4,2,3,4,3,4,4,3,1,1224.11,1.368
14,17.29,18.49,7.98,True,90.0,False,105.85,True,90.0,8,2,3,2,4,4,6,5,1,2454.15,1.365
14,12.72,6.66,14.48,True,90.0,False,98.95,True,90.0,4,2,3,1,5,3,4,4,1,1211.74,1.382
1,11.25,14.66,7.92,False,93.62,False,73.31,False,87.52,4,2,3,3,4,5,4,3,1,1246.1,1.344
14,5.22,7.78,29.84,True,90.0,False,93.71,True,90.0,4,2,3,4,4,4,6,4,1,1209.31,1.385
29,8.59,10.1,27.33,True,90.0,True,90.0,True,90.0,8,2,3,2,4,6,3,2,1,2371.12,1.412
14,7.09,10.02,16.82,True,90.0,False,97.0,True,90.0,4,2,3,2,6,4,6,3,1,1186.02,1.412
14,10.48,18.05,15.02,True,90.0,False,119.13,True,90.0,8,2,3,4,3,4,3,3,1,2481.88,1.349
61,10.13,12.62,18.95,True,90.0,True,90.0,True,90.0,8,2,3,4,3,3,4,2,1,2422.58,1.382
14,10.2,16.82,7.45,True,90.0,False,99.2,True,90.0,4,2,3,2,5,6,3,1,1,1261.71,1.327
14,7.61,7.5,22.3,True,90.0,False,98.47,True,90.0,4,2,3,4,4,4,4,1,1,1258.89,1.33
2,9.2,8.35,8.62,False,72.03,False,79.61,False,82.2,2,2,3,2,5,4,5,1,1,617.28,1.356
14,9.48,10.44,12.96,True,90.0,False,108.71,True,90.0,4,2,3,3,4,4,5,3,1,1214.88,1.378
2,7.38,9.62,8.72,False,95.6,False,95.95,False,101.43,2,2,3,2,5,3,5,2,1,599.09,1.397
19,14.95,11.0,14.49,True,90.0,True,90.0,True,90.0,8,2,3,4,4,4,4,1,1,2382.88,1.405
14,10.15,7.77,15.33,True,90.0,False,96.41,True,90.0,4,2,3,4,3,3,6,2,1,1201.45,1.394
14,12.44,12.15,8.89,True,90.0,False,115.3,True,90.0,4,2,3,2,5,4,4,1,1,1214.8,1.378
14,14.25,7.62,11.26,True,90.0,False,92.07,True,90.0,4,2,3,3,3,5,4,3,1,1221.87,1.37
14,8.79,5.22,13.07,True,90.0,False,92.53,True,90.0,2,2,3,3,6,4,4,3,1,599.12,1.397
33,19.64,12.32,5.22,True,90.0,True,90.0,True,90.0,4,2,3,3,5,3,3,2,1,1263.06,1.326
14,8.51,8.23,18.21,True,90.0,False,103.26,True,90.0,4,2,3,2,4,5,4,3,1,1241.38,1.349
14,11.79,8.92,11.49,True,90.0,False,95.23,True,90.0,4,2,3,4,4,4,6,1,1,1203.34,1.391
14,24.18,8.07,13.85,True,90.0,False,117.54,True,90.0,8,2,3,2,6,5,4,1,1,2396.35,1.397
61,10.23,10.77,22.77,True,90.0,True,90.0,True,90.0,8,2,3,4,3,5,4,1,1,2508.73,1.335
14,10.26,10.56,12.31,True,90.0,False,114.68,True,90.0,4,2,3,4,4,4,3,3,1,1211.9,1.382
19,5.36,13.85,16.75,True,90.0,True,90.0,True,90.0,4,2,3,3,5,5,4,3,1,1243.45,1.347
14,12.09,8.39,12.64,True,90.0,False,107.44,True,90.0,4,2,3,2,5,3,4,2,1,1223.2,1.369
19,6.69,10.42,17.3,True,90.0,True,90.0,True,90.0,4,2,3,3,5,4,4,3,1,1205.98,1.388
4,7.86,4.65,16.53,True,90.0,False,93.92,True,90.0,2,2,3,4,4,5,5,2,1,602.74,1.389
14,11.12,7.33,16.2,True,90.0,False,116.54,True,90.0,4,2,3,3,5,5,4,1,1,1181.31,1.417
2,5.06,9.7,13.18,False,106.65,False,94.79,False,98.75,2,2,3,1,6,4,6,2,1,607.02,1.379
1,5.41,10.04,12.18,False,106.73,False,95.14,False,92.68,2,2,3,4,2,5,3,2,1,629.19,1.331
15,14.76,8.13,11.84,True,90.0,False,118.12,True,90.0,4,2,3,2,5,4,4,1,1,1253.08,1.336
14,5.7,8.25,13.33,True,90.0,False,107.75,True,90.0,2,2,3,1,6,4,5,2,1,597.0,1.402
14,10.03,11.31,11.36,True,90.0,False,107.64,True,90.0,4,2,3,1,6,4,4,2,1,1228.08,1.363
33,7.48,9.85,16.46,True,90.0,True,90.0,True,90.0,4,2,3,2,5,6,5,2,1,1212.74,1.381
61,10.5,8.12,29.48,True,90.0,True,90.0,True,90.0,8,2,3,2,6,6,4,1,1,2513.46,1.332
19,8.69,12.18,11.77,True,90.0,True,90.0,True,90.0,4,2,3,2,4,5,4,4,1,1245.79,1.344
14,9.41,8.18,17.16,True,90.0,False,112.96,True,90.0,4,2,3,1,6,5,5,2,1,1216.23,1.377
2,8.22,8.41,9.57,False,100.56,False,103.29,False,107.48,2,2,3,2,4,5,4,2,1,591.0,1.417
2,10.27,16.01,7.75,False,95.89,False,106.37,False,85.65,4,2,3,3,4,3,5,3,1,1214.69,1.378
14,10.43,11.01,10.88,True,90.0,False,95.08,True,90.0,4,2,3,2,5,4,5,3,1,1244.49,1.345
14,13.99,7.58,12.55,True,90.0,False,115.59,True,90.0,4,2,3,3,4,6,4,2,1,1200.31,1.395
19,10.83,8.13,13.51,True,90.0,True,90.0,True,90.0,4,2,3,2,4,4,4,2,1,1189.53,1.408
2,6.36,19.61,5.49,False,101.23,False,97.75,False,109.39,2,2,3,4,3,4,5,4,1,618.6,1.353
14,6.19,14.51,14.17,True,90.0,False,100.67,True,90.0,4,2,3,4,3,2,5,5,1,1250.7,1.339
2,7.59,6.05,14.75,False,101.07,False,98.02,False,106.8,2,2,3,2,4,5,3,2,1,622.48,1.345
33,7.31,12.63,12.81,True,90.0,True,90.0,True,90.0,4,2,3,2,5,4,6,1,1,1182.69,1.416
33,10.68,6.31,18.72,True,90.0,True,90.0,True,90.0,4,2,3,2,3,4,6,1,1,1261.56,1.327
14,10.93,6.02,19.39,True,90.0,False,105.86,True,90.0,4,2,3,2,5,5,3,1,1,1227.27,1.364
1,5.99,7.47,14.1,False,101.5,False,82.46,False,92.14,2,2,3,3,4,5,3,3,1,612.86,1.366
4,9.02,6.15,10.77,True,90.0,False,92.71,True,90.0,2,2,3,4,3,4,4,2,1,596.78,1.403
14,7.3,5.92,29.82,True,90.0,False,106.22,True,90.0,4,2,3,2,5,5,4,3,1,1237.41,1.353
2,8.37,11.36,13.27,False,101.46,False,93.83,False,92.36,4,2,3,3,4,4,4,2,1,1231.92,1.359
33,12.05,11.63,8.41,True,90.0,True,90.0,True,90.0,4,2,3,3,6,4,5,1,1,1178.59,1.421
33,8.67,14.5,9.7,True,90.0,True,90.0,True,90.0,4,2,3,3,4,3,5,2,1,1219.44,1.373
33,9.84,13.23,9.16,True,90.0,True,90.0,True,90.0,4,2,3,3,3,3,5,2,1,1192.48,1.404
19,4.95,10.79,23.03,True,90.0,True,90.0,True,90.0,4,2,3,3,3,4,3,2,1,1230.04,1.361
5,7.35,8.45,20.28,True,90.0,False,97.25,True,90.0,4,2,3,1,6,5,5,3,1,1249.47,1.34
14,14.12,5.17,17.21,True,90.0,False,91.44,True,90.0,4,2,3,3,4,6,6,3,1,1255.94,1.333
29,7.31,8.41,20.53,True,90.0,True,90.0,True,90.0,4,2,3,4,5,5,6,3,1,1262.12,1.327
33,10.66,10.22,10.81,True,90.0,True,90.0,True,90.0,4,2,3,2,5,3,4,3,1,1177.7,1.422
14,6.66,9.9,18.78,True,90.0,False,93.43,True,90.0,4,2,3,4,4,4,4,3,1,1236.02,1.355
4,6.96,7.59,11.23,True,90.0,False,96.31,True,90.0,2,2,3,2,5,5,4,3,1,589.65,1.42
4,7.6,9.84,8.42,True,90.0,False,96.74,True,90.0,2,2,3,4,4,4,5,2,1,625.33,1.339
14,12.14,5.64,18.19,True,90.0,False,108.81,True,90.0,4,2,3,2,5,3,6,1,1,1178.95,1.42
14,9.59,18.16,7.14,True,90.0,False,108.82,True,90.0,4,2,3,2,6,5,5,3,1,1176.98,1.423
19,5.36,11.34,20.31,True,90.0,True,90.0,True,90.0,4,2,3,2,5,5,4,2,1,1234.49,1.356
14,10.3,7.89,15.83,True,90.0,False,107.42,True,90.0,4,2,3,4,3,3,4,3,1,1227.45,1.364
61,6.39,17.66,22.05,True,90.0,True,90.0,True,90.0,8,2,3,2,6,4,4,1,1,2488.29,1.346
2,5.94,10.31,10.88,False,113.44,False,92.73,False,94.0,2,2,3,4,3,3,4,2,1,607.76,1.378
4,13.3,8.63,12.34,True,90.0,False,117.64,True,90.0,4,2,3,1,5,5,3,1,1,1254.74,1.334
14,7.31,9.82,17.83,True,90.0,False,99.52,True,90.0,4,2,3,3,5,4,4,1,1,1262.29,1.326
14,13.23,6.07,30.0,True,90.0,False,95.87,True,90.0,8,2,3,4,4,4,4,1,1,2396.55,1.397
4,11.14,5.54,10.47,True,90.0,False,103.06,True,90.0,2,2,3,4,3,5,4,2,1,629.45,1.33
2,8.01,10.4,15.0,False,92.08,False,96.96,False,101.88,4,2,3,2,3,3,6,5,1,1211.37,1.382
14,14.19,5.79,30.0,True,90.0,False,104.14,True,90.0,8,2,3,4,4,4,5,5,1,2390.12,1.401
2,9.67,8.18,17.61,False,92.55,False,115.78,False,87.46,4,2,3,2,5,5,5,1,1,1252.6,1.337
