Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
14,7.04,8.59,21.3,True,90.0,False,91.24,True,90.0,4,2,2,4,4,5,5,4,2,1287.79,1.3
2,8.22,11.24,14.28,False,100.16,False,101.99,False,98.81,4,2,2,3,3,3,4,3,2,1245.42,1.345
4,8.25,7.38,11.21,True,90.0,False,107.42,True,90.0,2,2,2,2,3,4,6,3,2,651.22,1.286
4,4.62,7.92,17.46,True,90.0,False,91.85,True,90.0,2,2,2,1,6,5,5,2,2,638.54,1.311
2,6.05,7.03,15.72,False,87.74,False,85.71,False,92.93,2,2,2,1,5,6,5,3,2,665.22,1.259
4,5.99,8.05,13.51,True,90.0,False,92.83,True,90.0,2,2,2,4,2,2,6,3,2,650.65,1.287
14,8.15,9.59,17.82,True,90.0,False,115.13,True,90.0,4,2,2,2,4,3,4,2,2,1260.95,1.328
19,9.09,10.35,13.47,True,90.0,True,90.0,True,90.0,4,2,2,3,3,3,3,3,2,1267.28,1.321
4,9.26,7.39,9.5,True,90.0,False,97.97,True,90.0,2,2,2,4,3,4,3,3,2,643.82,1.301
2,4.32,7.8,19.4,False,86.29,False,97.03,False,81.24,2,2,2,3,4,5,4,3,2,638.9,1.311
19,8.12,19.49,16.19,True,90.0,True,90.0,True,90.0,8,2,2,2,6,4,5,3,2,2562.21,1.307
14,6.29,10.95,18.58,True,90.0,False,94.4,True,90.0,4,2,2,2,4,5,6,1,2,1275.94,1.312
14,8.77,13.21,10.79,True,90.0,False,95.91,True,90.0,4,2,2,2,4,3,5,3,2,1243.4,1.347
14,7.94,15.75,10.87,True,90.0,False,110.45,True,90.0,4,2,2,2,4,3,6,3,2,1273.68,1.315
4,6.91,17.01,11.23,True,90.0,False,107.44,True,90.0,4,2,2,1,6,3,4,2,2,1259.29,1.33
14,11.27,10.01,11.93,True,90.0,False,99.24,True,90.0,4,2,2,1,5,4,3,2,2,1328.39,1.261
14,11.54,9.92,12.69,True,90.0,False,113.3,True,90.0,4,2,2,3,3,4,5,3,2,1334.24,1.255
2,8.65,8.44,10.0,False,101.91,False,113.78,False,93.03,2,2,2,2,5,6,3,1,2,646.1,1.296
19,13.61,14.81,6.6,True,90.0,True,90.0,True,90.0,4,2,2,3,3,4,3,1,2,1330.32,1.259
33,10.53,14.1,8.9,True,90.0,True,90.0,True,90.0,4,2,2,1,5,4,5,1,2,1321.41,1.267
14,6.03,11.09,20.06,True,90.0,False,100.61,True,90.0,4,2,2,2,3,4,4,2,2,1318.53,1.27
14,7.31,23.1,8.14,True,90.0,False,110.12,True,90.0,4,2,2,1,4,3,5,5,2,1290.65,1.297
14,8.7,10.67,15.76,True,90.0,False,114.75,True,90.0,4,2,2,1,6,3,5,3,2,1328.6,1.26
15,18.25,12.03,12.23,True,90.0,False,101.86,True,90.0,8,2,2,4,3,4,4,3,2,2627.75,1.275
33,5.06,21.12,11.75,True,90.0,True,90.0,True,90.0,4,2,2,4,3,3,6,3,2,1255.69,1.334
14,7.72,10.75,16.02,True,90.0,False,99.26,True,90.0,4,2,2,2,4,5,4,1,2,1312.17,1.276
4,11.7,17.42,6.48,True,90.0,False,92.82,True,90.0,4,2,2,4,3,5,3,1,2,1319.12,1.269
14,7.92,11.78,14.06,True,90.0,False,99.57,True,90.0,4,2,2,2,4,2,5,3,2,1293.51,1.295
2,10.37,10.03,6.72,False,92.53,False,72.61,False,79.36,2,2,2,3,3,5,4,2,2,651.85,1.284
61,10.5,11.59,20.79,True,90.0,True,90.0,True,90.0,8,2,2,3,3,4,4,1,2,2530.04,1.324
19,9.25,19.86,7.01,True,90.0,True,90.0,True,90.0,4,2,2,4,3,3,4,4,2,1287.77,1.3
14,4.9,11.16,24.19,True,90.0,False,95.17,True,90.0,4,2,2,4,2,3,6,2,2,1317.42,1.271
14,10.34,10.18,11.8,True,90.0,False,91.45,True,90.0,4,2,2,2,5,4,3,2,2,1241.68,1.349
9,7.76,18.6,9.06,True,90.0,False,99.43,True,90.0,4,2,2,2,5,4,4,4,2,1290.01,1.298
2,8.03,10.23,16.98,False,74.67,False,84.96,False,74.53,4,2,2,4,3,4,4,1,2,1296.26,1.292
14,11.38,5.95,19.77,True,90.0,False,106.55,True,90.0,4,2,2,2,3,3,4,3,2,1283.19,1.305
61,8.24,11.04,28.03,True,90.0,True,90.0,True,90.0,8,2,2,2,5,3,4,2,2,2549.88,1.313
14,7.19,10.19,17.35,True,90.0,False,98.17,True,90.0,4,2,2,4,3,4,6,1,2,1258.27,1.331
14,8.29,21.34,14.15,True,90.0,False,93.59,True,90.0,8,2,2,4,3,4,5,2,2,2498.34,1.341
4,6.39,12.61,15.85,True,90.0,False,92.78,True,90.0,4,2,2,2,5,4,6,3,2,1275.66,1.313
14,5.63,11.11,21.17,True,90.0,False,96.37,True,90.0,4,2,2,4,3,4,5,2,2,1315.99,1.272
14,10.79,8.69,14.42,True,90.0,False,107.57,True,90.0,4,2,2,4,3,2,6,3,2,1289.02,1.299
2,10.15,10.82,12.24,False,95.82,False,97.07,False,105.56,4,2,2,4,3,4,4,3,2,1272.35,1.316
61,10.28,8.39,29.26,True,90.0,True,90.0,True,90.0,8,2,2,3,3,4,4,3,2,2523.65,1.327
14,9.11,15.78,9.28,True,90.0,False,94.41,True,90.0,4,2,2,3,3,4,3,3,2,1330.1,1.259
1,6.09,8.77,12.59,False,107.05,False,92.77,False,93.99,2,2,2,1,5,4,4,2,2,639.64,1.309
2,6.26,7.99,14.13,False,88.82,False,110.91,False,101.04,2,2,2,1,6,4,4,4,2,647.1,1.294
14,13.12,10.45,20.93,True,90.0,False,117.32,True,90.0,8,2,2,2,4,4,4,2,2,2549.5,1.314
19,7.83,15.9,10.65,True,90.0,True,90.0,True,90.0,4,2,2,3,3,4,6,3,2,1325.89,1.263
14,14.95,15.37,5.67,True,90.0,False,106.6,True,90.0,4,2,2,3,3,4,4,2,2,1248.56,1.341
2,7.88,7.75,11.48,False,72.8,False,74.64,False,79.49,2,2,2,1,5,3,5,2,2,641.67,1.305
14,6.38,15.94,13.22,True,90.0,False,97.35,True,90.0,4,2,2,4,3,4,4,4,2,1333.39,1.256
14,9.84,7.89,17.2,True,90.0,False,102.35,True,90.0,4,2,2,2,4,4,4,1,2,1304.47,1.284
4,7.68,6.98,13.16,True,90.0,False,113.96,True,90.0,2,2,2,2,3,5,5,2,2,644.67,1.299
14,7.24,15.01,12.1,True,90.0,False,100.27,True,90.0,4,2,2,1,6,6,4,2,2,1293.87,1.294
14,8.3,12.95,12.33,True,90.0,False,97.47,True,90.0,4,2,2,2,3,3,4,2,2,1314.04,1.274
2,7.54,7.35,12.54,False,86.42,False,92.73,False,67.4,2,2,2,1,6,6,4,3,2,638.4,1.312
2,9.33,11.21,13.41,False,86.55,False,79.95,False,69.31,4,2,2,1,5,4,4,1,2,1291.95,1.296
33,8.51,23.33,6.58,True,90.0,True,90.0,True,90.0,4,2,2,4,3,4,3,2,2,1306.38,1.282
2,9.76,8.58,16.34,False,105.62,False,106.22,False,94.15,4,2,2,3,3,4,4,2,2,1249.12,1.341
61,9.98,13.06,20.35,True,90.0,True,90.0,True,90.0,8,2,2,4,3,4,4,2,2,2652.39,1.263
19,11.1,8.07,14.85,True,90.0,True,90.0,True,90.0,4,2,2,3,3,4,4,2,2,1330.22,1.259
14,10.05,20.78,6.02,True,90.0,False,91.08,True,90.0,4,2,2,3,3,3,4,4,2,1256.99,1.332
2,9.03,11.11,7.29,False,79.27,False,78.31,False,69.89,2,2,2,3,4,4,4,3,2,667.1,1.255
61,9.39,11.75,11.91,True,90.0,True,90.0,True,90.0,4,2,2,4,3,4,5,3,2,1314.06,1.274
19,5.78,10.73,20.03,True,90.0,True,90.0,True,90.0,4,2,2,2,4,5,5,3,2,1242.25,1.348
2,7.24,11.76,15.86,False,70.66,False,82.32,False,88.28,4,2,2,2,5,4,4,3,2,1262.58,1.326
2,9.23,11.2,7.46,False,80.06,False,72.05,False,64.14,2,2,2,2,4,5,4,1,2,659.53,1.27
19,6.52,16.25,12.2,True,90.0,True,90.0,True,90.0,4,2,2,4,3,4,3,1,2,1292.59,1.296
14,9.4,7.58,9.3,True,90.0,False,98.21,True,90.0,2,2,2,2,5,5,4,1,2,655.85,1.277
2,6.2,7.47,13.72,False,86.84,False,84.44,False,78.62,2,2,2,4,2,3,6,2,2,619.58,1.351
14,6.62,16.76,12.46,True,90.0,False,111.23,True,90.0,4,2,2,3,2,3,4,2,2,1288.63,1.3
61,8.99,24.85,11.23,True,90.0,True,90.0,True,90.0,8,2,2,2,3,3,5,2,2,2508.8,1.335
4,7.66,6.84,12.61,True,90.0,False,97.06,True,90.0,2,2,2,2,4,5,5,5,2,655.68,1.277
2,12.07,10.95,11.59,False,87.29,False,70.03,False,66.3,4,2,2,2,2,3,4,2,2,1311.06,1.277
2,9.04,8.73,16.73,False,95.46,False,97.17,False,101.12,4,2,2,3,3,4,3,5,2,1275.72,1.313
19,4.98,12.28,21.57,True,90.0,True,90.0,True,90.0,4,2,2,2,4,4,5,2,2,1319.1,1.269
14,7.0,8.94,21.49,True,90.0,False,99.52,True,90.0,4,2,2,1,5,5,4,2,2,1326.32,1.263
14,8.55,8.19,19.67,True,90.0,False,115.92,True,90.0,4,2,2,2,3,1,6,1,2,1238.82,1.352
2,7.17,11.03,8.79,False,101.01,False,107.54,False,96.9,2,2,2,3,3,2,4,2,2,638.8,1.311
61,7.84,14.75,22.98,True,90.0,True,90.0,True,90.0,8,2,2,4,3,4,3,3,2,2657.41,1.26
4,10.77,16.33,7.37,True,90.0,False,101.57,True,90.0,4,2,2,3,3,4,4,2,2,1269.85,1.319
14,11.77,7.55,15.58,True,90.0,False,116.38,True,90.0,4,2,2,1,4,4,4,2,2,1240.32,1.35
19,5.27,10.98,21.44,True,90.0,True,90.0,True,90.0,4,2,2,2,4,4,4,3,2,1240.62,1.35
61,10.3,8.56,14.38,True,90.0,True,90.0,True,90.0,4,2,2,2,3,3,5,1,2,1267.86,1.321
14,13.3,16.76,12.39,True,90.0,False,105.79,True,90.0,8,2,2,3,3,3,4,2,2,2657.61,1.26
14,8.7,10.76,13.7,True,90.0,False,94.63,True,90.0,4,2,2,1,5,4,6,2,2,1278.3,1.31
2,8.56,10.38,7.87,False,100.66,False,97.62,False,108.46,2,2,2,3,2,4,4,5,2,637.99,1.312
2,6.59,12.1,16.71,False,99.9,False,99.84,False,99.55,4,2,2,2,6,5,4,4,2,1266.84,1.322
4,6.4,6.08,15.98,True,90.0,False,92.16,True,90.0,2,2,2,3,3,4,4,3,2,621.37,1.347
4,8.39,14.84,10.46,True,90.0,False,99.85,True,90.0,4,2,2,3,3,3,4,2,2,1283.15,1.305
2,8.98,10.33,8.12,False,101.62,False,109.49,False,107.19,2,2,2,2,4,5,3,1,2,639.61,1.309
