Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
14,12.54,10.82,7.19,True,90.0,False,103.35,True,90.0,4,2,3,4,4,5,4,3,2,949.2,1.512
2,6.73,7.79,9.35,False,81.56,False,77.08,False,79.42,2,2,3,2,4,4,6,2,2,466.79,1.537
14,8.9,9.18,11.78,True,90.0,False,100.85,True,90.0,4,2,3,4,4,4,4,2,2,945.24,1.518
14,7.36,7.11,18.48,True,90.0,False,101.71,True,90.0,4,2,3,2,6,5,6,4,2,946.92,1.515
29,11.57,7.37,11.5,True,90.0,True,90.0,True,90.0,4,2,3,2,6,4,5,2,2,980.62,1.463
61,10.7,10.83,16.85,True,90.0,True,90.0,True,90.0,8,2,3,1,6,4,4,1,2,1952.59,1.47
33,7.56,22.39,5.63,True,90.0,True,90.0,True,90.0,4,2,3,4,3,3,4,4,2,952.98,1.506
14,11.65,5.0,16.43,True,90.0,False,103.08,True,90.0,4,2,3,2,5,5,5,2,2,932.22,1.539
19,4.78,11.52,16.79,True,90.0,True,90.0,True,90.0,4,2,3,3,6,4,5,5,2,924.55,1.552
2,7.95,9.33,6.68,False,87.19,False,73.67,False,86.1,2,2,3,2,5,3,4,2,2,474.16,1.513
2,9.5,10.62,9.97,False,92.95,False,94.51,False,108.37,4,2,3,2,5,4,4,1,2,948.56,1.513
2,8.27,7.48,16.11,False,87.65,False,99.07,False,76.68,4,2,3,2,6,4,5,5,2,954.52,1.503
14,8.35,6.06,19.36,True,90.0,False,106.0,True,90.0,4,2,3,2,6,5,4,3,2,941.69,1.524
2,8.27,9.05,6.32,False,95.16,False,82.58,False,89.19,2,2,3,2,5,4,4,2,2,466.99,1.536
4,7.88,5.49,11.36,True,90.0,False,104.45,True,90.0,2,2,3,3,5,5,4,5,2,475.9,1.508
2,5.55,11.81,15.41,False,74.69,False,91.45,False,86.47,4,2,3,2,4,4,4,2,2,971.46,1.477
19,9.3,13.02,15.23,True,90.0,True,90.0,True,90.0,8,2,3,3,4,5,3,1,2,1844.14,1.556
