Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
19,7.06,14.8,16.84,True,90.0,True,90.0,True,90.0,4,3,4,3,5,6,3,2,2,1759.58,1.446
9,12.2,11.84,12.58,True,90.0,False,102.46,True,90.0,4,3,4,2,6,5,3,1,2,1774.36,1.434
14,11.98,4.93,29.23,True,90.0,False,95.85,True,90.0,4,3,4,4,5,5,3,1,2,1717.37,1.482
2,9.66,9.14,10.99,False,80.89,False,111.68,False,79.57,2,3,4,3,5,6,3,2,2,859.45,1.48
14,7.01,15.65,16.68,True,90.0,False,99.05,True,90.0,4,3,4,3,5,6,3,2,2,1807.12,1.408
4,8.5,7.73,13.15,True,90.0,False,92.54,True,90.0,2,3,4,3,5,7,4,3,2,863.17,1.474
14,9.53,14.64,12.89,True,90.0,False,97.5,True,90.0,4,3,4,3,5,7,3,1,2,1783.02,1.427
4,16.34,14.89,7.44,True,90.0,False,105.0,True,90.0,4,3,4,3,6,8,3,2,2,1748.49,1.455
4,10.61,7.83,10.88,True,90.0,False,108.0,True,90.0,2,3,4,3,6,6,4,1,2,859.63,1.48
5,9.25,9.16,20.28,True,90.0,False,91.15,True,90.0,4,3,4,4,5,6,3,3,2,1717.98,1.481
14,8.96,27.17,7.16,True,90.0,False,91.59,True,90.0,4,3,4,4,3,5,3,1,2,1742.38,1.46
2,10.5,11.27,16.38,False,81.15,False,85.23,False,68.5,4,3,4,3,5,6,3,5,2,1781.23,1.428
4,10.46,5.9,14.77,True,90.0,False,110.56,True,90.0,2,3,4,2,6,7,3,2,2,853.46,1.491
61,11.22,10.79,28.36,True,90.0,True,90.0,True,90.0,8,3,4,4,4,7,2,2,2,3433.37,1.482
14,11.21,16.29,9.8,True,90.0,False,95.4,True,90.0,4,3,4,2,6,7,3,1,2,1781.64,1.428
4,12.36,7.64,9.65,True,90.0,False,94.47,True,90.0,2,3,4,4,4,5,3,2,2,908.48,1.4
2,8.21,9.93,11.19,False,100.7,False,92.23,False,100.8,2,3,4,2,5,6,4,2,2,877.96,1.449
14,11.65,8.6,17.44,True,90.0,False,101.4,True,90.0,4,3,4,2,5,7,3,2,2,1712.84,1.485
2,10.25,8.51,11.22,False,71.28,False,75.85,False,85.36,2,3,4,2,6,6,4,2,2,898.79,1.415
14,12.35,10.15,15.53,True,90.0,False,115.5,True,90.0,4,3,4,4,4,5,4,2,2,1757.08,1.448
