Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
61,13.05,12.56,22.88,True,90.0,True,90.0,True,90.0,8,3,3,3,5,6,3,2,3,3750.22,1.347
14,8.22,15.0,17.28,True,90.0,False,110.01,True,90.0,4,3,3,2,4,5,3,3,3,2002.0,1.261
4,11.75,5.98,14.09,True,90.0,False,99.87,True,90.0,2,3,3,3,3,5,3,2,3,975.38,1.295
2,10.45,12.5,16.21,False,69.49,False,80.18,False,72.53,4,3,3,3,4,6,4,3,3,1886.66,1.339
2,10.73,12.83,14.86,False,94.38,False,72.11,False,76.35,4,3,3,4,3,5,4,2,3,1867.14,1.353
2,9.9,9.18,11.09,False,72.41,False,81.2,False,78.09,2,3,3,3,4,6,3,3,3,935.63,1.35
14,10.97,6.84,26.56,True,90.0,False,95.87,True,90.0,4,3,3,2,5,5,3,2,3,1982.47,1.274
2,7.94,12.33,11.47,False,111.94,False,97.52,False,100.13,2,3,3,2,5,5,3,2,3,1001.31,1.261
1,7.1,17.14,16.27,False,105.93,False,94.65,False,97.25,4,3,3,3,4,5,3,5,3,1874.76,1.347
19,11.23,11.57,14.98,True,90.0,True,90.0,True,90.0,4,3,3,1,6,6,3,2,3,1946.37,1.297
61,10.98,13.41,26.07,True,90.0,True,90.0,True,90.0,8,3,3,4,4,5,4,3,3,3838.59,1.316
2,9.85,10.48,10.94,False,106.9,False,104.93,False,106.81,2,3,3,2,5,6,3,2,3,959.69,1.316
4,9.52,19.17,10.83,True,90.0,False,101.28,True,90.0,4,3,3,4,4,5,3,2,3,1938.28,1.303
2,10.22,11.02,10.44,False,70.64,False,114.76,False,105.6,2,3,3,2,5,4,3,2,3,995.65,1.268
14,9.6,19.68,10.1,True,90.0,False,92.13,True,90.0,4,3,3,1,6,6,3,3,3,1906.85,1.324
5,22.06,10.99,8.89,True,90.0,False,113.19,True,90.0,4,3,3,3,4,6,3,3,3,1981.15,1.275
14,9.56,15.09,13.2,True,90.0,False,99.92,True,90.0,4,3,3,4,3,5,5,5,3,1875.77,1.346
14,12.46,8.73,19.63,True,90.0,False,114.55,True,90.0,4,3,3,2,5,6,3,3,3,1942.24,1.3
15,27.72,8.76,17.74,True,90.0,False,115.7,True,90.0,8,3,3,1,5,6,4,2,3,3881.62,1.301
14,10.49,11.76,16.21,True,90.0,False,101.84,True,90.0,4,3,3,3,4,6,3,4,3,1957.16,1.29
14,10.55,8.61,21.65,True,90.0,False,101.81,True,90.0,4,3,3,3,4,6,5,2,3,1924.96,1.312
4,10.2,15.87,11.99,True,90.0,False,100.18,True,90.0,4,3,3,2,6,6,3,3,3,1910.31,1.322
14,9.94,11.76,16.88,True,90.0,False,93.33,True,90.0,4,3,3,4,2,4,3,1,3,1969.85,1.282
14,8.89,9.71,21.87,True,90.0,False,89.99,True,90.0,4,3,3,2,6,6,3,2,3,1887.86,1.338
19,7.25,11.94,22.18,True,90.0,True,90.0,True,90.0,4,3,3,2,5,6,3,3,3,1920.01,1.315
15,15.3,9.21,15.93,True,90.0,False,117.31,True,90.0,4,3,3,4,4,4,3,2,3,1994.54,1.266
14,8.97,10.43,21.2,True,90.0,False,98.28,True,90.0,4,3,3,2,6,6,3,2,3,1962.74,1.287
19,10.06,16.09,11.99,True,90.0,True,90.0,True,90.0,4,3,3,3,4,5,3,3,3,1940.77,1.301
5,20.72,8.92,11.34,True,90.0,False,111.12,True,90.0,4,3,3,2,5,5,3,2,3,1955.1,1.292
15,24.17,10.86,15.45,True,90.0,False,100.4,True,90.0,8,3,3,3,4,7,3,2,3,3988.79,1.266
4,8.17,7.4,17.15,True,90.0,False,112.51,True,90.0,2,3,3,1,6,6,3,3,3,957.86,1.318
4,7.32,13.25,20.76,True,90.0,False,99.75,True,90.0,4,3,3,3,4,5,4,3,3,1984.43,1.273
5,22.66,8.31,10.81,True,90.0,False,103.63,True,90.0,4,3,3,2,5,5,4,3,3,1978.25,1.277
15,19.55,5.78,18.45,True,90.0,False,111.24,True,90.0,4,3,3,3,3,5,3,2,3,1943.21,1.3
19,19.23,11.88,8.23,True,90.0,True,90.0,True,90.0,4,3,3,2,5,5,2,1,3,1880.16,1.343
2,11.43,12.57,14.12,False,69.27,False,84.64,False,93.52,4,3,3,4,3,6,4,2,3,1879.31,1.344
15,20.71,11.3,8.53,True,90.0,False,100.69,True,90.0,4,3,3,4,4,6,3,2,3,1961.57,1.287
4,12.67,6.21,12.72,True,90.0,False,101.63,True,90.0,2,3,3,3,4,6,3,2,3,980.27,1.288
2,7.54,9.53,15.36,False,80.67,False,74.39,False,71.13,2,3,3,2,5,6,3,2,3,1002.45,1.26
19,8.01,8.89,26.12,True,90.0,True,90.0,True,90.0,4,3,3,1,5,6,3,2,3,1859.98,1.358
19,9.44,7.41,28.29,True,90.0,True,90.0,True,90.0,4,3,3,2,5,6,3,3,3,1978.9,1.276
4,9.55,8.37,13.45,True,90.0,False,115.96,True,90.0,2,3,3,2,4,5,3,3,3,966.63,1.306
2,10.85,10.45,8.75,False,95.39,False,96.62,False,106.88,2,3,3,2,5,6,4,2,3,934.51,1.351
14,13.12,10.86,14.4,True,90.0,False,112.41,True,90.0,4,3,3,2,3,5,2,3,3,1896.81,1.331
15,21.96,12.32,7.6,True,90.0,False,114.6,True,90.0,4,3,3,4,4,5,3,2,3,1869.53,1.351
14,13.92,7.93,17.47,True,90.0,False,101.53,True,90.0,4,3,3,3,5,6,4,3,3,1889.52,1.337
19,6.78,11.33,24.23,True,90.0,True,90.0,True,90.0,4,3,3,3,3,4,3,2,3,1861.29,1.357
14,17.45,10.91,10.98,True,90.0,False,107.49,True,90.0,4,3,3,1,5,6,3,2,3,1993.73,1.267
