Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
19,8.59,12.22,15.99,True,90.0,True,90.0,True,90.0,4,3,2,4,3,5,2,3,2,1678.47,1.382
61,8.88,17.01,22.01,True,90.0,True,90.0,True,90.0,8,3,2,3,3,4,6,4,2,3324.58,1.395
19,6.57,16.05,15.81,True,90.0,True,90.0,True,90.0,4,3,2,2,3,4,5,4,2,1667.14,1.391
19,5.66,16.84,17.19,True,90.0,True,90.0,True,90.0,4,3,2,4,3,4,4,2,2,1638.45,1.415
61,10.22,13.99,23.43,True,90.0,True,90.0,True,90.0,8,3,2,3,3,4,3,3,2,3349.97,1.384
4,8.8,7.09,13.63,True,90.0,False,104.09,True,90.0,2,3,2,2,4,5,3,2,2,824.82,1.406
2,7.99,10.44,10.92,False,105.61,False,74.65,False,106.61,2,3,2,4,3,4,4,3,2,823.11,1.409
4,10.99,19.01,7.79,True,90.0,False,101.85,True,90.0,4,3,2,3,4,5,3,1,2,1592.8,1.456
4,11.91,7.3,18.16,True,90.0,False,94.77,True,90.0,4,3,2,2,5,5,3,4,2,1573.42,1.474
5,11.49,17.23,8.04,True,90.0,False,97.79,True,90.0,4,3,2,3,3,4,3,2,2,1577.01,1.47
61,15.4,16.97,12.62,True,90.0,True,90.0,True,90.0,8,3,2,1,6,4,4,1,2,3298.09,1.406
4,11.1,5.9,13.23,True,90.0,False,111.86,True,90.0,2,3,2,3,3,4,4,1,2,804.13,1.442
14,7.67,11.23,18.26,True,90.0,False,90.02,True,90.0,4,3,2,2,5,5,4,3,2,1572.81,1.474
33,9.02,16.58,11.08,True,90.0,True,90.0,True,90.0,4,3,2,3,3,4,3,2,2,1657.03,1.399
4,13.75,11.65,10.75,True,90.0,False,108.93,True,90.0,4,3,2,4,3,5,4,3,2,1628.88,1.424
14,10.71,16.66,18.01,True,90.0,False,93.11,True,90.0,8,3,2,2,4,6,5,4,2,3208.77,1.445
4,9.38,6.63,13.41,True,90.0,False,89.83,True,90.0,2,3,2,2,5,6,3,2,2,833.96,1.39
61,15.02,8.12,25.95,True,90.0,True,90.0,True,90.0,8,3,2,3,3,5,4,2,2,3164.92,1.465
14,10.3,10.12,15.95,True,90.0,False,98.56,True,90.0,4,3,2,2,3,5,5,3,2,1644.04,1.41
29,8.66,28.04,6.78,True,90.0,True,90.0,True,90.0,4,3,2,2,3,3,5,2,2,1646.36,1.408
33,12.7,18.67,13.32,True,90.0,True,90.0,True,90.0,8,3,2,4,3,5,3,1,2,3158.29,1.468
29,8.26,9.9,20.13,True,90.0,True,90.0,True,90.0,4,3,2,3,3,4,3,2,2,1646.11,1.409
14,6.1,13.85,19.39,True,90.0,False,99.8,True,90.0,4,3,2,4,3,4,4,2,2,1614.26,1.436
61,10.06,11.16,29.79,True,90.0,True,90.0,True,90.0,8,3,2,2,3,5,4,3,2,3344.51,1.387
61,10.87,16.42,18.57,True,90.0,True,90.0,True,90.0,8,3,2,2,4,4,4,4,2,3314.47,1.399
61,8.08,11.1,18.51,True,90.0,True,90.0,True,90.0,4,3,2,2,5,4,5,4,2,1660.12,1.397
4,17.9,7.5,13.44,True,90.0,False,112.26,True,90.0,4,3,2,3,3,5,3,2,2,1669.85,1.389
2,10.01,10.72,15.69,False,88.4,False,83.38,False,90.5,4,3,2,2,4,5,4,3,2,1671.65,1.387
2,8.53,12.43,16.52,False,71.69,False,90.44,False,74.31,4,3,2,3,3,5,3,3,2,1592.69,1.456
14,13.92,15.07,8.08,True,90.0,False,99.94,True,90.0,4,3,2,3,3,5,2,1,2,1669.53,1.389
14,10.4,16.03,10.59,True,90.0,False,108.89,True,90.0,4,3,2,2,4,4,3,2,2,1670.39,1.388
14,11.91,11.63,11.95,True,90.0,False,100.42,True,90.0,4,3,2,3,2,5,2,2,2,1627.94,1.424
5,13.61,7.04,16.52,True,90.0,False,93.08,True,90.0,4,3,2,2,3,5,3,2,2,1580.57,1.467
5,12.39,8.3,15.71,True,90.0,False,96.69,True,90.0,4,3,2,2,2,4,3,1,2,1604.57,1.445
2,9.34,9.01,10.65,False,99.22,False,96.83,False,105.83,2,3,2,2,5,7,3,2,2,838.53,1.383
4,10.73,7.12,10.63,True,90.0,False,99.78,True,90.0,2,3,2,3,3,5,3,3,2,800.3,1.449
14,8.61,14.88,12.78,True,90.0,False,95.71,True,90.0,4,3,2,3,3,4,3,3,2,1629.21,1.423
14,10.11,8.59,18.78,True,90.0,False,103.7,True,90.0,4,3,2,1,6,6,3,1,2,1584.55,1.463
4,13.24,7.68,15.81,True,90.0,False,98.31,True,90.0,4,3,2,4,3,4,3,2,2,1590.73,1.458
14,11.0,14.4,10.46,True,90.0,False,96.52,True,90.0,4,3,2,3,5,5,3,1,2,1646.15,1.409
2,5.98,10.39,13.09,False,100.69,False,95.12,False,92.6,2,3,2,2,3,6,2,2,2,794.41,1.459
15,24.38,11.59,11.69,True,90.0,False,91.16,True,90.0,8,3,2,4,3,4,3,2,2,3302.5,1.404
14,10.08,20.52,15.9,True,90.0,False,107.04,True,90.0,8,3,2,1,4,7,3,1,2,3144.41,1.475
4,11.92,16.81,8.44,True,90.0,False,107.04,True,90.0,4,3,2,1,4,5,3,2,2,1616.93,1.434
2,9.55,9.31,10.53,False,71.72,False,72.77,False,75.61,2,3,2,2,4,5,3,2,2,836.49,1.386
15,11.64,17.79,16.04,True,90.0,False,103.71,True,90.0,8,3,2,4,3,5,3,1,2,3226.86,1.437
14,9.65,12.71,13.02,True,90.0,False,90.06,True,90.0,4,3,2,3,3,5,3,1,2,1596.92,1.452
14,15.12,7.67,13.98,True,90.0,False,98.53,True,90.0,4,3,2,4,3,4,3,1,2,1603.33,1.446
33,14.39,13.18,16.52,True,90.0,True,90.0,True,90.0,8,3,2,1,5,4,4,1,2,3133.19,1.48
29,11.46,16.44,8.43,True,90.0,True,90.0,True,90.0,4,3,2,2,3,4,3,2,2,1588.23,1.46
61,11.11,11.91,24.46,True,90.0,True,90.0,True,90.0,8,3,2,1,5,5,4,1,2,3236.55,1.433
14,7.89,16.44,12.84,True,90.0,False,101.99,True,90.0,4,3,2,2,4,4,3,3,2,1629.16,1.423
14,8.59,26.63,7.47,True,90.0,False,102.86,True,90.0,4,3,2,3,3,3,3,3,2,1665.91,1.392
15,19.7,10.38,17.71,True,90.0,False,114.25,True,90.0,8,3,2,3,3,6,3,2,2,3301.9,1.405
2,9.62,8.92,10.67,False,70.89,False,71.67,False,69.6,2,3,2,2,3,3,3,2,2,789.85,1.468
14,10.5,22.18,7.36,True,90.0,False,111.51,True,90.0,4,3,2,1,6,5,3,2,2,1594.69,1.454
4,9.18,7.42,11.75,True,90.0,False,97.1,True,90.0,2,3,2,2,3,4,3,2,2,794.22,1.46
4,13.05,16.0,8.03,True,90.0,False,108.95,True,90.0,4,3,2,2,5,6,3,2,2,1585.79,1.462
4,6.84,17.05,13.96,True,90.0,False,85.34,True,90.0,4,3,2,2,4,6,3,2,2,1622.66,1.429
4,10.16,11.03,14.56,True,90.0,False,92.15,True,90.0,4,3,2,2,5,4,4,2,2,1630.51,1.422
15,17.99,8.11,21.7,True,90.0,False,93.16,True,90.0,8,3,2,1,5,8,3,1,2,3161.19,1.467
2,8.69,9.97,9.89,False,94.47,False,96.45,False,70.83,2,3,2,1,6,5,3,2,2,803.46,1.443
2,8.66,11.61,16.95,False,88.68,False,85.98,False,79.3,4,3,2,1,5,5,4,3,2,1670.36,1.388
14,11.66,12.15,12.04,True,90.0,False,110.65,True,90.0,4,3,2,4,2,5,4,3,2,1596.11,1.453
14,11.7,15.01,9.63,True,90.0,False,104.68,True,90.0,4,3,2,2,4,6,3,2,2,1635.98,1.417
19,10.93,11.89,12.18,True,90.0,True,90.0,True,90.0,4,3,2,4,3,5,3,2,2,1582.88,1.465
2,8.6,10.88,10.94,False,101.55,False,111.65,False,114.11,2,3,2,2,4,5,3,2,2,790.64,1.466
14,14.13,10.2,11.2,True,90.0,False,102.1,True,90.0,4,3,2,2,3,4,3,2,2,1578.35,1.469
9,11.64,17.61,8.59,True,90.0,False,111.75,True,90.0,4,3,2,1,5,4,4,1,2,1635.43,1.418
4,7.65,12.12,8.73,True,90.0,False,96.51,True,90.0,2,3,2,2,3,5,3,2,2,804.21,1.442
14,8.05,20.24,9.96,True,90.0,False,100.85,True,90.0,4,3,2,4,4,5,3,3,2,1593.79,1.455
14,8.9,11.35,16.33,True,90.0,False,92.87,True,90.0,4,3,2,1,6,6,3,2,2,1647.51,1.408
2,8.17,9.66,11.14,False,70.77,False,95.32,False,105.42,2,3,2,2,4,6,3,1,2,800.24,1.449
33,7.91,16.9,12.16,True,90.0,True,90.0,True,90.0,4,3,2,2,3,3,3,2,2,1625.54,1.427
14,8.86,11.48,16.77,True,90.0,False,101.24,True,90.0,4,3,2,1,4,5,4,2,2,1673.01,1.386
4,7.17,8.36,13.17,True,90.0,False,91.65,True,90.0,2,3,2,2,3,6,3,2,2,789.1,1.469
2,12.15,8.04,9.82,False,80.45,False,73.64,False,64.17,2,3,2,2,4,6,4,5,2,827.44,1.401
4,10.73,14.66,10.89,True,90.0,False,109.4,True,90.0,4,3,2,2,5,6,3,2,2,1615.76,1.435
2,8.04,9.87,10.77,False,75.72,False,77.21,False,75.24,2,3,2,3,3,5,3,2,2,789.37,1.469
14,7.09,12.44,19.0,True,90.0,False,99.78,True,90.0,4,3,2,4,2,4,4,2,2,1651.44,1.404
2,7.26,9.54,12.89,False,65.69,False,80.02,False,79.59,2,3,2,2,4,6,4,2,2,795.33,1.458
2,7.92,10.18,10.44,False,106.72,False,92.43,False,99.58,2,3,2,1,6,4,4,3,2,791.26,1.465
14,17.26,6.51,28.26,True,90.0,False,94.06,True,90.0,8,3,2,1,6,5,3,2,2,3167.4,1.464
14,5.65,16.83,16.97,True,90.0,False,89.96,True,90.0,4,3,2,1,4,4,3,1,2,1613.67,1.437
19,7.21,13.75,16.51,True,90.0,True,90.0,True,90.0,4,3,2,3,3,5,3,2,2,1636.76,1.417
14,25.02,5.95,12.02,True,90.0,False,110.89,True,90.0,4,3,2,3,3,5,4,3,2,1671.78,1.387
14,12.25,8.2,17.62,True,90.0,False,114.72,True,90.0,4,3,2,2,5,5,3,2,2,1607.74,1.442
1,13.64,11.89,14.14,False,106.96,False,112.37,False,114.74,4,3,2,2,4,4,3,3,2,1624.79,1.427
4,10.3,5.21,15.17,True,90.0,False,92.6,True,90.0,2,3,2,4,3,4,6,1,2,813.23,1.426
2,7.01,10.82,11.89,False,72.95,False,88.27,False,66.78,2,3,2,2,3,5,2,2,2,788.61,1.47
4,8.36,9.55,10.57,True,90.0,False,110.12,True,90.0,2,3,2,3,3,4,3,2,2,792.39,1.463
4,7.0,9.56,12.21,True,90.0,False,93.28,True,90.0,2,3,2,1,6,4,4,2,2,815.75,1.421
4,9.48,14.29,12.33,True,90.0,False,96.79,True,90.0,4,3,2,2,3,4,3,1,2,1658.62,1.398
15,17.52,8.54,12.0,True,90.0,False,118.32,True,90.0,4,3,2,3,3,4,3,2,2,1580.56,1.467
14,10.12,26.22,6.66,True,90.0,False,109.45,True,90.0,4,3,2,1,5,5,5,1,2,1666.36,1.392
14,10.75,7.26,20.29,True,90.0,False,93.03,True,90.0,4,3,2,1,6,5,4,2,2,1581.32,1.466
33,8.03,15.75,12.55,True,90.0,True,90.0,True,90.0,4,3,2,3,3,4,4,2,2,1587.23,1.461
29,10.77,14.3,10.47,True,90.0,True,90.0,True,90.0,4,3,2,1,6,5,5,1,2,1612.5,1.438
2,5.45,17.85,17.62,False,109.34,False,92.04,False,99.99,4,3,2,2,4,5,4,3,2,1584.86,1.463
2,8.79,10.02,10.03,False,113.54,False,99.71,False,92.98,2,3,2,2,5,6,3,2,2,791.29,1.465
1,7.66,10.25,11.41,False,112.7,False,92.21,False,100.4,2,3,2,2,3,4,3,3,2,807.08,1.437
14,9.96,9.09,17.66,True,90.0,False,90.55,True,90.0,4,3,2,4,2,3,4,2,2,1598.8,1.45
14,12.3,10.35,13.75,True,90.0,False,116.37,True,90.0,4,3,2,2,4,4,4,4,2,1568.3,1.479
29,12.56,18.55,6.98,True,90.0,True,90.0,True,90.0,4,3,2,3,3,4,3,2,2,1626.26,1.426
14,10.41,11.29,14.03,True,90.0,False,96.88,True,90.0,4,3,2,4,3,4,3,1,2,1637.06,1.416
2,8.33,9.96,11.0,False,66.7,False,87.84,False,75.33,2,3,2,1,5,6,4,2,2,808.87,1.433
15,26.22,11.49,11.64,True,90.0,False,115.9,True,90.0,8,3,2,3,3,5,3,2,2,3154.53,1.47
4,9.13,14.88,12.2,True,90.0,False,104.8,True,90.0,4,3,2,4,3,5,3,1,2,1602.44,1.447
33,11.09,12.6,11.48,True,90.0,True,90.0,True,90.0,4,3,2,1,5,5,2,1,2,1604.15,1.446
2,11.43,12.07,13.82,False,76.33,False,114.61,False,88.21,4,3,2,3,4,5,4,3,2,1666.08,1.392
61,13.73,11.44,20.16,True,90.0,True,90.0,True,90.0,8,3,2,4,3,4,6,2,2,3166.56,1.465
19,7.26,12.25,18.05,True,90.0,True,90.0,True,90.0,4,3,2,1,5,5,3,2,2,1605.28,1.445
1,6.89,11.81,21.14,False,75.08,False,89.08,False,73.24,4,3,2,2,4,5,4,2,2,1588.43,1.46
14,10.84,17.67,16.94,True,90.0,False,100.23,True,90.0,8,3,2,4,3,3,3,2,2,3193.15,1.452
2,13.19,13.9,10.02,False,66.75,False,71.13,False,73.76,4,3,2,3,3,5,4,2,2,1572.58,1.475
2,10.44,12.45,15.91,False,113.87,False,98.02,False,114.1,4,3,2,3,3,6,3,2,2,1607.08,1.443
14,8.85,11.68,16.93,True,90.0,False,115.94,True,90.0,4,3,2,2,4,5,4,2,2,1573.71,1.474
19,9.06,11.03,16.53,True,90.0,True,90.0,True,90.0,4,3,2,4,1,3,3,2,2,1651.87,1.404
2,6.01,8.08,17.6,False,102.02,False,97.55,False,102.85,2,3,2,4,3,5,4,2,2,800.72,1.448
14,7.9,13.69,14.97,True,90.0,False,90.47,True,90.0,4,3,2,1,5,4,3,3,2,1618.97,1.432
33,10.15,8.18,19.16,True,90.0,True,90.0,True,90.0,4,3,2,1,6,6,3,2,2,1590.8,1.458
14,17.67,12.4,7.72,True,90.0,False,107.59,True,90.0,4,3,2,2,4,4,3,2,2,1612.42,1.438
14,9.66,6.33,27.09,True,90.0,False,100.86,True,90.0,4,3,2,4,2,4,3,2,2,1626.83,1.425
19,7.38,11.57,19.26,True,90.0,True,90.0,True,90.0,4,3,2,4,3,5,3,2,2,1644.55,1.41
61,20.01,21.1,7.83,True,90.0,True,90.0,True,90.0,8,3,2,2,5,6,3,2,2,3305.91,1.403
1,7.24,10.57,11.39,False,94.52,False,94.55,False,112.92,2,3,2,2,4,4,3,2,2,794.56,1.459
4,9.75,16.28,10.54,True,90.0,False,98.44,True,90.0,4,3,2,2,3,5,3,3,2,1654.9,1.401
14,16.12,16.62,6.29,True,90.0,False,97.61,True,90.0,4,3,2,2,4,4,3,2,2,1670.34,1.388
2,7.68,9.55,11.88,False,108.37,False,97.72,False,94.35,2,3,2,3,3,4,4,2,2,812.93,1.426
15,12.19,19.93,7.02,True,90.0,False,107.39,True,90.0,4,3,2,4,4,4,3,2,2,1627.53,1.425
2,10.67,12.47,13.33,False,71.58,False,81.4,False,78.68,4,3,2,4,3,6,4,2,2,1642.7,1.412
2,9.2,11.17,8.67,False,101.3,False,113.09,False,90.99,2,3,2,2,3,4,3,1,2,799.31,1.451
4,15.22,9.49,11.23,True,90.0,False,96.85,True,90.0,4,3,2,4,3,4,3,2,2,1610.46,1.44
2,12.02,5.99,11.56,False,93.47,False,92.11,False,99.5,2,3,2,2,2,6,3,2,2,818.47,1.417
2,13.11,11.41,13.15,False,100.19,False,117.42,False,98.79,4,3,2,2,4,4,4,2,2,1655.57,1.401
29,9.21,18.56,9.28,True,90.0,True,90.0,True,90.0,4,3,2,1,4,4,4,2,2,1586.3,1.462
2,12.83,14.69,9.73,False,64.38,False,81.33,False,73.6,4,3,2,3,4,5,3,3,2,1585.39,1.463
4,15.55,10.8,18.73,True,90.0,False,92.34,True,90.0,8,3,2,3,3,4,3,2,2,3142.89,1.476
14,13.75,17.05,7.55,True,90.0,False,111.33,True,90.0,4,3,2,3,3,4,3,1,2,1648.76,1.406
4,12.22,11.09,12.85,True,90.0,False,111.99,True,90.0,4,3,2,4,2,3,5,5,2,1614.74,1.436
4,20.19,10.57,15.32,True,90.0,False,95.4,True,90.0,8,3,2,1,6,6,3,2,2,3254.91,1.425
19,12.48,11.37,22.67,True,90.0,True,90.0,True,90.0,8,3,2,2,3,5,2,1,2,3216.82,1.442
4,7.04,7.12,16.61,True,90.0,False,93.79,True,90.0,2,3,2,2,4,5,4,3,2,830.75,1.396
4,9.63,22.41,7.4,True,90.0,False,91.98,True,90.0,4,3,2,3,3,6,3,2,2,1596.03,1.453
15,27.49,15.07,8.27,True,90.0,False,113.06,True,90.0,8,3,2,4,3,5,3,1,2,3152.29,1.471
4,10.67,10.92,15.52,True,90.0,False,117.68,True,90.0,4,3,2,2,4,6,3,2,2,1601.38,1.448
2,6.17,10.18,14.87,False,112.6,False,96.25,False,101.31,2,3,2,3,3,4,3,2,2,827.83,1.401
14,8.78,8.86,11.63,True,90.0,False,112.35,True,90.0,2,3,2,2,3,5,3,1,2,836.74,1.386
33,9.19,15.44,11.11,True,90.0,True,90.0,True,90.0,4,3,2,2,5,4,3,2,2,1576.44,1.471
2,9.65,7.14,23.64,False,93.64,False,97.65,False,93.37,4,3,2,4,3,3,6,2,2,1607.34,1.443
14,19.9,15.47,11.24,True,90.0,False,113.0,True,90.0,8,3,2,2,4,4,3,2,2,3185.19,1.456
2,7.46,9.35,12.16,False,89.19,False,87.58,False,79.99,2,3,2,1,6,6,6,2,2,834.5,1.389
15,13.52,12.64,10.45,True,90.0,False,113.47,True,90.0,4,3,2,2,4,4,3,3,2,1638.09,1.416
9,6.31,16.45,15.61,True,90.0,False,95.06,True,90.0,4,3,2,4,2,3,4,2,2,1614.0,1.437
14,7.13,10.45,21.65,True,90.0,False,97.19,True,90.0,4,3,2,3,4,6,3,2,2,1600.42,1.449
19,9.78,14.69,11.56,True,90.0,True,90.0,True,90.0,4,3,2,2,5,4,3,2,2,1660.8,1.396
14,10.26,13.52,12.11,True,90.0,False,101.7,True,90.0,4,3,2,4,3,4,3,2,2,1644.94,1.41
14,12.49,11.03,12.64,True,90.0,False,107.74,True,90.0,4,3,2,2,5,5,3,3,2,1658.54,1.398
4,11.33,5.51,12.93,True,90.0,False,93.15,True,90.0,2,3,2,2,3,4,3,1,2,805.98,1.439
19,5.97,10.37,26.56,True,90.0,True,90.0,True,90.0,4,3,2,2,4,5,3,2,2,1644.3,1.41
14,11.88,22.66,6.38,True,90.0,False,109.98,True,90.0,4,3,2,2,3,4,3,2,2,1614.13,1.437
33,10.86,12.34,5.95,True,90.0,True,90.0,True,90.0,2,3,2,4,3,5,3,2,2,797.37,1.454
2,5.6,10.22,14.33,False,78.1,False,89.11,False,80.03,2,3,2,1,5,6,3,2,2,790.22,1.467
2,9.86,10.62,16.04,False,73.72,False,100.59,False,97.24,4,3,2,1,5,5,3,2,2,1579.84,1.468
2,8.83,8.69,11.1,False,71.83,False,90.35,False,80.09,2,3,2,2,4,6,4,2,2,795.56,1.457
2,8.36,8.66,12.99,False,75.72,False,84.16,False,62.99,2,3,2,2,4,5,4,2,2,811.92,1.428
14,12.9,21.71,11.37,True,90.0,False,93.55,True,90.0,8,3,2,2,3,4,4,2,2,3178.16,1.459
2,8.16,8.9,11.3,False,86.18,False,92.0,False,86.9,2,3,2,2,5,5,3,3,2,817.02,1.419
61,8.27,16.48,23.06,True,90.0,True,90.0,True,90.0,8,3,2,3,4,6,2,2,2,3142.84,1.476
2,9.37,12.6,15.83,False,71.06,False,74.46,False,74.99,4,3,2,4,3,4,6,2,2,1672.49,1.386
15,10.31,11.51,28.24,True,90.0,False,91.62,True,90.0,8,3,2,2,4,6,2,1,2,3349.85,1.384
2,8.59,10.46,10.28,False,113.18,False,98.28,False,98.12,2,3,2,3,3,4,4,2,2,820.13,1.414
1,10.88,9.06,8.99,False,95.39,False,111.78,False,91.47,2,3,2,2,4,5,3,3,2,817.52,1.418
19,11.33,16.49,17.34,True,90.0,True,90.0,True,90.0,8,3,2,4,3,7,3,2,2,3239.66,1.432
14,12.4,8.22,17.07,True,90.0,False,107.09,True,90.0,4,3,2,4,3,6,4,3,2,1663.08,1.394
