Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
4,8.44,4.8,19.34,True,90.0,False,99.93,True,90.0,2,3,5,4,5,7,2,1,2,771.76,1.687
61,10.18,12.66,24.02,True,90.0,True,90.0,True,90.0,8,3,5,4,5,6,4,4,2,3095.67,1.682
14,12.06,15.13,9.33,True,90.0,False,113.53,True,90.0,4,3,5,4,6,6,3,2,2,1560.87,1.668
61,18.58,6.68,25.2,True,90.0,True,90.0,True,90.0,8,3,5,4,4,5,3,3,2,3127.68,1.665
4,7.49,8.98,23.34,True,90.0,False,99.61,True,90.0,4,3,5,4,5,6,4,2,2,1547.82,1.682
4,6.42,8.99,27.29,True,90.0,False,94.56,True,90.0,4,3,5,4,5,5,3,2,2,1570.08,1.658
61,10.11,14.19,21.84,True,90.0,True,90.0,True,90.0,8,3,5,3,6,7,4,1,2,3133.19,1.662
2,10.22,9.91,8.48,False,71.17,False,74.94,False,85.13,2,3,5,3,5,6,3,3,2,784.97,1.658
19,6.95,12.65,17.95,True,90.0,True,90.0,True,90.0,4,3,5,3,6,5,3,2,2,1578.12,1.65
19,6.2,11.01,22.11,True,90.0,True,90.0,True,90.0,4,3,5,3,6,5,3,4,2,1509.27,1.725
14,8.77,26.78,6.54,True,90.0,False,98.84,True,90.0,4,3,5,3,6,6,3,2,2,1517.74,1.715
19,8.84,12.73,13.41,True,90.0,True,90.0,True,90.0,4,3,5,4,5,6,3,3,2,1509.07,1.725
14,11.75,11.26,12.01,True,90.0,False,100.97,True,90.0,4,3,5,4,5,7,3,2,2,1559.95,1.669
4,6.96,20.36,11.19,True,90.0,False,98.62,True,90.0,4,3,5,3,6,7,5,2,2,1567.77,1.661
14,11.79,8.31,16.28,True,90.0,False,96.35,True,90.0,4,3,5,3,6,6,3,2,2,1585.25,1.642
4,8.1,6.87,15.11,True,90.0,False,114.0,False,90.0,2,3,5,4,5,6,3,1,2,768.13,1.695
4,6.86,5.66,19.8,True,90.0,False,98.24,True,90.0,2,3,5,4,6,8,4,1,2,760.85,1.711
9,5.59,17.34,16.29,True,90.0,False,93.6,True,90.0,4,3,5,4,6,8,3,1,2,1575.88,1.652
14,15.73,14.78,6.56,True,90.0,False,98.2,True,90.0,4,3,5,4,5,6,3,2,2,1509.54,1.725
33,20.13,10.12,15.46,True,90.0,True,90.0,True,90.0,8,3,5,4,6,6,4,3,2,3149.44,1.653
19,6.13,8.59,28.79,True,90.0,True,90.0,True,90.0,4,3,5,4,5,8,5,4,2,1515.99,1.717
