Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
14,7.95,27.48,8.64,True,90.0,False,100.1,True,90.0,4,3,4,2,5,5,3,1,1,1858.3,1.291
2,9.32,9.96,11.25,False,95.21,False,103.58,False,106.62,2,3,4,3,5,6,4,1,1,958.61,1.251
14,6.43,15.13,20.02,True,90.0,False,91.94,True,90.0,4,3,4,2,6,5,3,3,1,1946.55,1.232
14,11.83,16.27,10.5,True,90.0,False,113.79,True,90.0,4,3,4,4,5,6,3,1,1,1849.26,1.297
2,11.42,12.0,9.15,False,114.08,False,110.72,False,103.52,2,3,4,4,4,7,4,2,1,960.04,1.249
14,13.32,8.44,17.12,True,90.0,False,96.68,True,90.0,4,3,4,3,5,6,3,1,1,1911.58,1.255
5,15.33,7.89,15.49,True,90.0,False,96.76,True,90.0,4,3,4,2,6,7,3,3,1,1860.55,1.289
33,11.26,10.08,16.8,True,90.0,True,90.0,True,90.0,4,3,4,4,5,6,4,2,1,1906.81,1.258
9,8.81,15.82,13.95,True,90.0,False,101.14,True,90.0,4,3,4,4,5,5,3,3,1,1907.64,1.257
14,9.33,11.82,17.91,True,90.0,False,91.66,True,90.0,4,3,4,4,6,7,3,1,1,1974.3,1.215
4,12.27,16.4,9.93,True,90.0,False,99.15,True,90.0,4,3,4,4,4,5,3,1,1,1972.77,1.216
5,11.5,10.83,16.0,True,90.0,False,108.41,True,90.0,4,3,4,2,6,6,3,3,1,1890.73,1.269
2,8.99,10.47,12.02,False,93.99,False,101.78,False,114.58,2,3,4,3,6,6,3,1,1,991.91,1.209
2,10.67,9.34,10.65,False,101.51,False,104.18,False,100.75,2,3,4,2,6,6,3,2,1,976.88,1.228
4,9.69,7.48,13.39,True,90.0,False,103.22,True,90.0,2,3,4,2,6,7,3,1,1,944.8,1.269
14,18.52,10.54,10.46,True,90.0,False,110.78,True,90.0,4,3,4,4,5,7,3,1,1,1908.98,1.257
